Model,MAE,RMSE,MAPE
Naive,141.9906764908652,214.45102906355277,3.683901224371978
Linear Regression,167.45975900384636,250.29081859267666,4.468027610946734
XGBoost,215.50740464517895,306.4641694920214,5.217161859900058
LSTM,324.0164028338004,436.68653158999797,8.055211498372463
